Link,Time,Followers,Time,Followers,Token,Change,Change 3D,Change 7D,Change 2W,Change 1M
,,,,,TKX,No Data,,,,
https://discord.com/api/invites/ethena?with_counts=true,2025-01-07 16:12:47,35237,2025-01-07 21:12:14,35237,ENA,0.00%,,,,
https://discord.com/api/invites/algorand?with_counts=true,2025-01-07 16:12:47,21625,2025-01-07 21:12:14,21634,ALGO,0.04%,,,,
https://discord.com/api/invites/kaspa?with_counts=true,2025-01-07 16:12:47,54506,2025-01-07 21:12:14,54515,KAS,0.02%,,,,
https://discord.com/api/invites/e6EyvM5QwM?with_counts=true,2025-01-07 16:12:47,163849,2025-01-07 21:12:14,163836,OKB,-0.01%,,,,
,,,,,ATOM,No Data,,,,
https://discord.com/api/invites/optimism?with_counts=true,2025-01-07 16:12:47,162038,2025-01-07 21:12:14,162043,OP,0.00%,,,,
https://discord.com/api/invites/3Ynr2QDSnB?with_counts=true,2025-01-07 16:12:47,37767,2025-01-07 21:12:14,37833,S,0.17%,,,,
https://discord.com/api/invites/movementlabsxyz?with_counts=true,2025-01-07 16:12:47,835662,2025-01-07 21:12:14,835740,MOVE,0.01%,,,,
,,,,,AI16Z,No Data,,,,
https://discord.com/api/invites/TADecrzfcP?with_counts=true,2025-01-07 16:12:47,3143,2025-01-07 21:12:14,3144,GT,0.03%,,,,
https://discord.com/api/invites/YzhZaFbB92?with_counts=true,2025-01-07 16:12:47,46482,2025-01-07 21:12:14,46480,ONDO,0.00%,,,,
,,,,,QNT,No Data,,,,
https://discord.com/api/invites/thesandboxgame?with_counts=true,2025-01-07 16:12:47,275984,2025-01-07 21:12:14,275965,SAND,-0.01%,,,,
,,,,,RUNE,No Data,,,,
,,,,,RAY,No Data,,,,
,,,,,PYTH,No Data,,,,
,,,,,JUP,No Data,,,,
,,,,,CRV,No Data,,,,
,,,,,SNEK,No Data,,,,
,,,,,DASH,No Data,,,,
,,,,,GRIFFAIN,No Data,,,,
,,,,,HOT,No Data,,,,
https://discord.com/api/invites/0xPolygonCommunity?with_counts=true,,,2025-01-07 21:12:14,169736,MATIC,100.00%,,,,
https://discord.com/api/invites/helium?with_counts=true,,,2025-01-07 21:12:14,154378,HNT,100.00%,,,,
https://discord.com/api/invites/aerodrome?with_counts=true,,,2025-01-07 21:12:14,15461,AERO,100.00%,,,,
https://discord.com/api/invites/altlayer?with_counts=true,,,2025-01-07 21:12:14,581547,ALT,100.00%,,,,
https://discord.com/api/invites/phala-network?with_counts=true,,,2025-01-07 21:12:14,10447,PHALA,100.00%,,,,
